City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Constitucion,CL,2022-04-21 17:36:40,-35.3333,-72.4167,57.0,57,100,7.43
68,Ust-Kan,RU,2022-04-21 17:36:40,50.9276,84.761,38.25,98,100,4.74
69,Masindi,UG,2022-04-21 17:36:40,1.6744,31.715,65.89,97,100,4.63
70,Marsala,IT,2022-04-21 17:34:33,37.7966,12.4352,63.93,82,75,4.61
71,Ojinaga,MX,2022-04-21 17:36:10,29.5667,-104.4167,92.57,25,0,0.0
72,Alikovo,RU,2022-04-21 17:36:41,55.7383,46.7549,37.51,83,100,12.01
73,Hautcharage,LU,2022-04-21 17:36:41,49.5775,5.9108,59.68,71,93,11.45
74,Ushuaia,AR,2022-04-21 17:33:49,-54.8,-68.3,44.22,81,75,18.41
75,San Jeronimo,PE,2022-04-21 17:36:41,-11.9472,-75.2829,63.09,45,71,2.84
76,Nazret,ET,2022-04-21 17:36:42,8.55,39.2667,72.14,43,92,5.66
77,Henties Bay,NA,2022-04-21 17:36:42,-22.116,14.2845,67.78,72,1,5.59
78,Hermanus,ZA,2022-04-21 17:36:42,-34.4187,19.2345,60.1,89,2,1.43
79,Coruripe,BR,2022-04-21 17:36:43,-10.1256,-36.1756,83.88,66,72,10.27
80,Pontes E Lacerda,BR,2022-04-21 17:36:43,-15.2261,-59.3353,90.07,47,70,2.13
81,Okhotsk,RU,2022-04-21 17:36:43,59.3833,143.3,18.5,97,58,1.05
82,Klaksvik,FO,2022-04-21 17:36:43,62.2266,-6.589,50.92,92,32,11.7
83,Avarua,CK,2022-04-21 17:36:44,-21.2078,-159.775,77.05,57,40,11.5
84,Fort Nelson,CA,2022-04-21 17:36:03,58.8053,-122.7002,33.39,64,100,0.0
85,Camacha,PT,2022-04-21 17:36:44,33.0833,-16.3333,60.22,67,40,13.8
86,Hobart,AU,2022-04-21 17:33:28,-42.8794,147.3294,49.86,80,100,8.05
87,Saint-Philippe,RE,2022-04-21 17:36:44,-21.3585,55.7679,78.39,87,48,10.96
88,Khatanga,RU,2022-04-21 17:36:45,71.9667,102.5,-3.86,100,89,5.79
89,Tunceli,TR,2022-04-21 17:36:45,39.1083,39.5471,59.22,49,27,4.41
90,Klyuchi,RU,2022-04-21 17:36:45,52.2667,79.1667,42.1,89,67,10.0
91,Maham,IN,2022-04-21 17:36:46,28.9833,76.3,83.01,32,63,8.34
92,Ponta Do Sol,PT,2022-04-21 17:36:46,32.6667,-17.1,66.0,87,70,10.2
93,Youkounkoun,GN,2022-04-21 17:37:46,12.5333,-13.1333,105.01,12,35,3.44
94,Cidreira,BR,2022-04-21 17:37:47,-30.1811,-50.2056,73.17,63,43,4.79
95,Tevriz,RU,2022-04-21 17:37:47,57.509,72.4042,19.65,80,100,12.86
96,Iki-Burul,RU,2022-04-21 17:37:47,45.8208,44.6472,57.81,42,98,5.1
97,Lompoc,US,2022-04-21 17:37:48,34.6391,-120.4579,65.01,78,75,8.05
98,Clyde River,CA,2022-04-21 17:37:48,70.4692,-68.5914,3.43,78,100,17.27
99,Sawakin,SD,2022-04-21 17:37:48,19.1059,37.3321,80.08,73,5,9.28
100,Laguna,US,2022-04-21 17:37:49,38.421,-121.4238,60.15,80,100,9.22
101,Saskylakh,RU,2022-04-21 17:37:49,71.9167,114.0833,3.33,99,100,4.63
102,Husavik,IS,2022-04-21 17:37:49,66.0449,-17.3389,49.64,71,7,4.97
